0,fuente,tabla_num,1,2,3,4,5,6,7,8,9,10,11,12,Número de municipios por entidad federativa y demarcaciones territoriales de la Ciudad de México,"Los datos proceden del Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México, realizado por el Instituto Nacional de Estadística y Geografía (INEGI).Con motivo de la reforma de la Constitución Política de los Estados Unidos Mexicanos publicada el 29 de enero de 2016 en el Diario Oficial de la Federación, el Distrito Federal cambió su denominación a Ciudad de México. La información correspondiente a dicha entidad se presenta con este nuevo nombre.","Instituto Nacional de Estadística y Geografía, Censo Nacional de Gobiernos Municipales y Delegacionales, Ediciones 2011, 2013, 2015, 2017, Módulo 6: Residuos Sólidos Urbanos, consultado en: https://www.inegi.org.mx/temas/residuos/, 08-11-2019."
,recoleccion_municipios,2,2007,"36,865.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2008,"37,595.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2009,"38,325.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2010,"40,058.75",,,,,,,,,,,,,
,recoleccion_municipios,2,2011,"41,062.50",,,,,,,,,,,,,
,recoleccion_municipios,2,2012,"42,102.75",,,,,,,,,,,,,
Generación total de residuos sólidos urbanos,recoleccion_municipios,3,"Los datos la fuente los reporta en toneladas anuales, en tanto que en este cuadro se reportan en miles de toneladas anuales, esto, aunado a los redondeos que se realizan a partir del cálculo base, que es toneladas diarias, puede derivar en diferencias entre la suma de algunos de los parciales en los distintos desgloses de esta variable (por entidad federativa, por tipo de localidad, etc) y el total estimado correspondiente.A partir de los datos de 2010, la fuente considera los resultados definitivos 
del Censo General de Población y Vivienda 2010.Con la publicación de la Ley General para la Prevención y Gestión Integral de Residuos en mayo de 2003, lo que se conocía como residuos sólidos municipales, pasa a ser residuos sólidos urbanos. Se refiere a la basura producida en las ciudades, la que incluye desechos generados en las casas habitación y en otras fuentes como son comercios, instituciones, lugares de recreación y otros, los estudios de generación se realizan siguiendo la metodología 
estipulada en las Normas Mexicanas existentes.A partir de 1997 las cifras se ajustan con base en estudios de generación per cápita llevados a cabo en pequeñas comunidades, donde se ha encontrado que dicha generación es del orden de 200 a 350 g, cantidades inferiores a las reportadas para los años anteriores al de referencia.Los cálculos de la generación para 2004 y 2005 se hicieron con estricto apego a las proyecciones de población de CONAPO, que resultaron ser ligeramente superiores a los datos 
de población que se manejaron por Sedesol; razón por la que se podrá observar un ligero incremento más allá de las tendencias que se venían observando del 2000 al 2003.En el caso del desglose de esta variable por zona geográfica, las cifras para el Distrito Federal la fuente las reporta por separado debido a sus características particulares de concentración de población y gran generación de basura.La parte orgánica de la basura en su proceso de descomposición natural  (en la parte 
anaerobia), genera distintos gases conocidos como biogás, en el que aproximadamente el 50% es CO2 y el otro 50% es gas metano, mismo que debe quemarse (acuerdos internacionales para el control de emisiones de gases de invernadero y por balance estequiométrico se reducen los gases de invernadero al 9.5%), lo deseable es aprovechar su poder calorífico para generar alguna fuente de energía; cuando la descomposición es controlada con un proceso aeróbico, se obtiene un mejorador de suelo conocido como 
composta.La fuente ya no existe como consecuencia de reorganizaciones de la Administración Pública Federal. Esta información se mantiene como acervo histórico.Con motivo de la reforma de la Constitución Política de los Estados Unidos Mexicanos publicada el 29 de enero de 2016 en el Diario Oficial de la Federación, el Distrito Federal cambió su denominación a Ciudad de México. La información correspondiente a dicha entidad se presenta con este nuevo nombre.",,,,,,,,,,,,,,
"Secretaría de Desarrollo Social, Dirección General de Equipamiento e Infraestructura en Zonas Urbano-Marginadas, Abril, 2013.",recoleccion_municipios,4,,,,,,,,,,,,,,,
,recoleccion_municipios,5,,,,,,,,,,,,,,,
,recoleccion_municipios,6,,,,,,,,,,,,,,,
,recoleccion_municipios,7,,,,,,,,,,,,,,,
,recoleccion_municipios,8,,,,,,,,,,,,,,,
,recoleccion_municipios,9,,,,,,,,,,,,,,,
,recoleccion_municipios,10,,,,,,,,,,,,,,,
,recoleccion_municipios,11,,,,,,,,,,,,,,,
,recoleccion_municipios,12,,,,,,,,,,,,,,,
,recoleccion_municipios,13,,,,,,,,,,,,,,,
,recoleccion_municipios,14,,,,,,,,,,,,,,,
Generación estimada de residuos sólidos urbanos por tipo de localidad(miles de toneladas),generacion_entidad,1,,,,,,,,,,,,,,,
,generacion_entidad,1,,,,,,,,,,,,,,,
,generacion_entidad,2,,,,,,,,,,,,,,,
,generacion_entidad,2,Año,,,,,,,,,,,,,,
,generacion_entidad,2,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,,
Localidad,generacion_entidad,2,,,,,,,,,,,,,,,
Zonas Metropolitanas,generacion_entidad,2,"13,844.45","14,435.75","14,709.00","15,691.35","16,037.00","16,418.00","16,536.00","17,677.00","18,030.00","17,198.78","17,559.80","18,004.14",,,
Ciudades medias,generacion_entidad,2,"10,702.59","10,583.91","10,913.00","11,296.75","10,994.00","11,512.00","12,555.00","12,918.00","13,231.00","14,942.02","15,345.90","15,824.48",,,
Ciudades pequeñas,generacion_entidad,2,"2,620.70","2,379.80","2,501.00","2,649.90","3,048.00","3,117.00","2,753.00","2,460.00","2,503.00","3,278.36","3,452.50","3,548.13",,,
Localidades rurales o semiurbanas,generacion_entidad,2,"4,320.91","4,774.20","4,793.00","4,964.00","5,326.00","5,088.00","5,021.00","4,540.00","4,561.00","4,639.50","4,704.30","4,726.00",,,
Total,generacion_entidad,2,"31,488.48","32,173.61","32,915.70","34,604.00","35,405.00","36,135.00","36,865.00","37,595.00","38,325.00","40,058.75","41,062.50","42,102.75",,,
Generación total de residuos sólidos urbanos,generacion_entidad,3,"Los datos la fuente los reporta en toneladas anuales, en tanto que en este cuadro se reportan en miles de toneladas anuales, esto, aunado a los redondeos que se realizan a partir del cálculo base, que es toneladas diarias, puede derivar en diferencias entre la suma de algunos de los parciales en los distintos desgloses de esta variable (por entidad federativa, por tipo de localidad, etc) y el total estimado correspondiente.A partir de los datos de 2010, la fuente considera los resultados definitivos 
del Censo General de Población y Vivienda 2010.Con la publicación de la Ley General para la Prevención y Gestión Integral de Residuos en mayo de 2003, lo que se conocía como residuos sólidos municipales, pasa a ser residuos sólidos urbanos. Se refiere a la basura producida en las ciudades, la que incluye desechos generados en las casas habitación y en otras fuentes como son comercios, instituciones, lugares de recreación y otros, los estudios de generación se realizan siguiendo la metodología 
estipulada en las Normas Mexicanas existentes.A partir de 1997 las cifras se ajustan con base en estudios de generación per cápita llevados a cabo en pequeñas comunidades, donde se ha encontrado que dicha generación es del orden de 200 a 350 g, cantidades inferiores a las reportadas para los años anteriores al de referencia.Los cálculos de la generación para 2004 y 2005 se hicieron con estricto apego a las proyecciones de población de CONAPO, que resultaron ser ligeramente superiores a los datos 
de población que se manejaron por Sedesol; razón por la que se podrá observar un ligero incremento más allá de las tendencias que se venían observando del 2000 al 2003.En el caso del desglose de esta variable por zona geográfica, las cifras para el Distrito Federal la fuente las reporta por separado debido a sus características particulares de concentración de población y gran generación de basura.La parte orgánica de la basura en su proceso de descomposición natural  (en la parte 
anaerobia), genera distintos gases conocidos como biogás, en el que aproximadamente el 50% es CO2 y el otro 50% es gas metano, mismo que debe quemarse (acuerdos internacionales para el control de emisiones de gases de invernadero y por balance estequiométrico se reducen los gases de invernadero al 9.5%), lo deseable es aprovechar su poder calorífico para generar alguna fuente de energía; cuando la descomposición es controlada con un proceso aeróbico, se obtiene un mejorador de suelo conocido como 
composta.La fuente ya no existe como consecuencia de reorganizaciones de la Administración Pública Federal. Esta información se mantiene como acervo histórico.Con motivo de la reforma de la Constitución Política de los Estados Unidos Mexicanos publicada el 29 de enero de 2016 en el Diario Oficial de la Federación, el Distrito Federal cambió su denominación a Ciudad de México. La información correspondiente a dicha entidad se presenta con este nuevo nombre.",,,,,,,,,,,,,,
"Secretaría de Desarrollo Social, Dirección General de Equipamiento e Infraestructura en Zonas Urbano-Marginadas, Abril, 2013.",generacion_entidad,4,,,,,,,,,,,,,,,
,generacion_entidad,5,,,,,,,,,,,,,,,
,generacion_entidad,6,,,,,,,,,,,,,,,
,generacion_entidad,7,,,,,,,,,,,,,,,
,generacion_entidad,8,,,,,,,,,,,,,,,
,generacion_entidad,9,,,,,,,,,,,,,,,
,generacion_entidad,10,,,,,,,,,,,,,,,
,generacion_entidad,11,,,,,,,,,,,,,,,
,generacion_entidad,12,,,,,,,,,,,,,,,
,generacion_entidad,13,,,,,,,,,,,,,,,
,generacion_entidad,14,,,,,,,,,,,,,,,
Municipios con programas orientados a la gestión integral de los residuos sólidos urbanos por entidad federativa(Número),programas_municipios,1,,,,,,,,,,,,,,,
,programas_municipios,1,,,,,,,,,,,,,,,
,programas_municipios,2,,,,,,,,,,,,,,,
Entidad federativa,programas_municipios,2,Año,Total de municipios,Con servicios derecolección ydisposición final,Con programas,,,,,,,,,,,
Aguascalientes,programas_municipios,2,2010,11,10,2,,,,,,,,,,,
,programas_municipios,2,2012,11,10,1,,,,,,,,,,,
,programas_municipios,2,2014,11,11,5,,,,,,,,,,,
,programas_municipios,2,2016,11,11,3,,,,,,,,,,,
,programas_municipios,2,2018,11,-,2,,,,,,,,,,,
,programas_municipios,2,2020,11,-,2,,,,,,,,,,,
,programas_municipios,2,2022,11,-,2,,,,,,,,,,,
Baja California,programas_municipios,2,2010,5,4,0,,,,,,,,,,,
,programas_municipios,2,2012,5,5,0,,,,,,,,,,,
,programas_municipios,2,2014,5,5,0,,,,,,,,,,,
,programas_municipios,2,2016,5,5,1,,,,,,,,,,,
,programas_municipios,2,2018,5,-,4,,,,,,,,,,,
,programas_municipios,2,2020,6,-,2,,,,,,,,,,,
,programas_municipios,2,2022,7,-,6,,,,,,,,,,,
Baja California Sur,programas_municipios,2,2010,5,5,0,,,,,,,,,,,
,programas_municipios,2,2012,5,5,1,,,,,,,,,,,
,programas_municipios,2,2016,5,5,0,,,,,,,,,,,
,programas_municipios,2,2018,5,-,0,,,,,,,,,,,
,programas_municipios,2,2020,5,-,0,,,,,,,,,,,
,programas_municipios,2,2022,5,-,8,,,,,,,,,,,
Campeche,programas_municipios,2,2010,11,11,1,,,,,,,,,,,
,programas_municipios,2,2012,11,11,1,,,,,,,,,,,
,programas_municipios,2,2014,11,11,0,,,,,,,,,,,
,programas_municipios,2,2016,11,11,4,,,,,,,,,,,
,programas_municipios,2,2018,11,-,4,,,,,,,,,,,
,programas_municipios,2,2020,12,-,2,,,,,,,,,,,
,programas_municipios,2,2022,13,-,4,,,,,,,,,,,
Coahuila,programas_municipios,2,2010,38,36,7,,,,,,,,,,,
,programas_municipios,2,2012,38,38,0,,,,,,,,,,,
,programas_municipios,2,2014,38,38,0,,,,,,,,,,,
,programas_municipios,2,2016,38,38,6,,,,,,,,,,,
